用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
晶晶甜冰,保密,"应读的书籍：江村经济、论语、孟子、苏格拉底对话录、柏拉图对话录、理想国、形而上学、灵魂论及其他、工具论、修辞学、诗学、物理学、政治学、福音书、道德经、圣经、历史的起源与目标、国富论、自然哲学之数学原理、马可波罗游记、天演论、聊斋志异、钱氏家训
精神文化：敬惜字纸、仓颉造字、仁义礼智信、民为贵 社稷次之 君为轻、精神助产 无穷追问 爱智倾向、思想巨人留下的宝藏《论语》《对话录《福音书》、万经之王《道德经》揭示人与人  人与社会  人与自然重大关系、儒家思想和道家思想是哲学思想的两个源头、轴心时代奠定了中国、西方、印度、伊斯兰等文化形态，描绘各种文明的精神底蕴、《国富论》是最早政治经济学理论体系、《自然哲学是数学原理》奠定了力学和天文学的基础、《马可波罗游记》引发了世界地理大发现、《天演论》物竞天择 适者生存等",,一级评论,5,1182,2023-07-15 21:25:02
奶油朗,保密,感谢整理,晶晶甜冰,二级评论,4,4,2023-07-16 00:18:46
是借过呀,保密,谢谢谢谢,晶晶甜冰,二级评论,4,0,2023-07-16 12:07:41
Shushu147258,保密,为什么读这些？方便说一下理由吗？主要马可波罗、聊斋不明白,晶晶甜冰,二级评论,3,3,2023-07-16 23:02:15
我和成就击过掌,保密,回复 @Shushu147258 :开卷有益吧，而且聊斋我觉得第一个想象力是真有趣第二个，跟济公传一样劝人向善，现在信物质不再信仰心的力量了，这样真的是对的吗，世界真的是全是由客观物质组成的吗，想象力可以瞬间跨越时间空间，不能简单的看成物理学所说的物质对吧。,晶晶甜冰,二级评论,5,64,2023-07-17 08:24:19
陈瞎饺不瞎教,女,回复 @Shushu147258 :聊斋是很具有现实批判性的文本，高中语文课本还选了《促织》这一篇，就是为了批判当时的封建制度黑暗,晶晶甜冰,二级评论,5,7,2023-07-17 09:21:25
卡布阿拉贡,男,毛选,晶晶甜冰,二级评论,5,9,2023-07-20 15:21:23
飞天山鹰,保密,回复 @卡布阿拉贡 : 读毛选给人一种无形力量。,晶晶甜冰,二级评论,4,4,2023-07-28 10:53:50
茶七七777,保密,[喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢],晶晶甜冰,二级评论,3,0,2023-07-29 06:12:53
幽谷百合2021,女,回复 @体系和宇宙 :开卷不一定有益！因为人的生命是有限的，可供自由支配的时间也有限，不要被局限，每个人对知识的渴求不同，完全形而上就脱离了生活的本质，根据自己的需要去选择书单吧，比如哲学的，历史的，逻辑思维的，心理学的，纯文学的…这样会比他推荐的更适合你,晶晶甜冰,二级评论,4,25,2023-08-06 09:39:56
等待杯子的水,保密,回复 @体系和宇宙 :受益匪浅,晶晶甜冰,二级评论,5,0,2023-08-11 15:01:03
